Rank,IMDb_Rating,Name,Release_Year,Runtime,Age_Rating
1,9.3,The Shawshank Redemption,1994,2h 22m,R
2,9.2,The Godfather,1972,2h 55m,R
3,9.0,The Dark Knight,2008,2h 32m,PG-13
4,9.0,The Godfather Part II,1974,3h 22m,R
5,9.0,12 Angry Men,1957,1h 36m,Approved
6,9.0,Schindler's List,1993,3h 15m,R
7,9.0,The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13
8,8.9,Pulp Fiction,1994,2h 34m,R
9,8.8,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13
10,8.8,"The Good, the Bad and the Ugly",1966,2h 58m,Approved
11,8.8,Forrest Gump,1994,2h 22m,PG-13
12,8.8,Fight Club,1999,2h 19m,R
13,8.8,The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13
14,8.8,Inception,2010,2h 28m,PG-13
15,8.7,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG
16,8.7,The Matrix,1999,2h 16m,R
17,8.7,Goodfellas,1990,2h 25m,R
18,8.7,One Flew Over the Cuckoo's Nest,1975,2h 13m,R
19,8.7,Spider-Man: Across the Spider-Verse,2023,2h 20m,PG
20,8.6,Se7en,1995,2h 7m,R
21,8.6,It's a Wonderful Life,1946,2h 10m,PG
22,8.6,Seven Samurai,1954,3h 27m,Not Rated
23,8.6,The Silence of the Lambs,1991,1h 58m,R
24,8.7,Interstellar,2014,2h 49m,PG-13
25,8.6,Saving Private Ryan,1998,2h 49m,R
26,8.6,City of God,2002,2h 10m,R
27,8.6,Life Is Beautiful,1997,1h 56m,PG-13
28,8.6,The Green Mile,1999,3h 9m,R
29,8.6,Star Wars: Episode IV - A New Hope,1977,2h 1m,PG
30,8.6,Terminator 2: Judgment Day,1991,2h 17m,R
31,8.5,Back to the Future,1985,1h 56m,PG
32,8.6,Spirited Away,2001,2h 5m,PG
33,8.5,The Pianist,2002,2h 30m,R
34,8.5,Psycho,1960,1h 49m,R
35,8.5,Parasite,2019,2h 12m,R
36,8.5,Gladiator,2000,2h 35m,R
37,8.5,The Lion King,1994,1h 28m,G
38,8.5,Léon: The Professional,1994,1h 50m,R
39,8.5,American History X,1998,1h 59m,R
40,8.5,The Departed,2006,2h 31m,R
41,8.5,Whiplash,2014,1h 46m,R
42,8.5,The Prestige,2006,2h 10m,PG-13
43,8.6,Oppenheimer,2023,3h,R
44,8.5,The Usual Suspects,1995,1h 46m,R
45,8.5,Grave of the Fireflies,1988,1h 29m,Not Rated
46,8.6,Harakiri,1962,2h 13m,Not Rated
47,8.5,Casablanca,1942,1h 42m,PG
48,8.5,The Intouchables,2011,1h 52m,R
49,8.5,Modern Times,1936,1h 27m,G
50,8.5,Cinema Paradiso,1988,2h 35m,PG
51,8.5,Once Upon a Time in the West,1968,2h 45m,PG-13
52,8.5,Rear Window,1954,1h 52m,PG
53,8.5,Alien,1979,1h 57m,R
54,8.5,City Lights,1931,1h 27m,G
55,8.4,Apocalypse Now,1979,2h 27m,R
56,8.4,Memento,2000,1h 53m,R
57,8.5,Django Unchained,2012,2h 45m,R
58,8.4,Indiana Jones and the Raiders of the Lost Ark,1981,1h 55m,PG
59,8.4,WALL·E,2008,1h 38m,G
60,8.4,The Lives of Others,2006,2h 17m,R
61,8.4,Sunset Blvd,1950,1h 50m,Passed
62,8.4,Paths of Glory,1957,1h 28m,Approved
63,8.4,Avengers: Infinity War,2018,2h 29m,PG-13
64,8.4,The Shining,1980,2h 26m,R
65,8.4,The Great Dictator,1940,2h 5m,G
66,8.4,Witness for the Prosecution,1957,1h 56m,Approved
67,8.4,Spider-Man: Into the Spider-Verse,2018,1h 57m,PG
68,8.4,Aliens,1986,2h 17m,R
69,8.4,The Dark Knight Rises,2012,2h 44m,PG-13
70,8.3,Inglourious Basterds,2009,2h 33m,R
71,8.3,American Beauty,1999,2h 2m,R
72,8.4,Dr,1964,1h 35m,PG
73,8.4,Oldboy,2003,2h,R
74,8.4,Coco,2017,1h 45m,PG
75,8.4,Amadeus,1984,2h 40m,PG
76,8.3,Toy Story,1995,1h 21m,G
77,8.4,Das Boot,1981,2h 29m,N/A
78,8.3,Braveheart,1995,2h 58m,R
79,8.4,Avengers: Endgame,2019,3h 1m,PG-13
80,8.4,Joker,2019,2h 2m,R
81,8.3,Princess Mononoke,1997,2h 14m,PG-13
82,8.3,Good Will Hunting,1997,2h 6m,R
83,8.3,Once Upon a Time in America,1984,3h 49m,R
84,8.4,Your Name,2016,1h 46m,TV-PG
85,8.4,3 Idiots,2009,2h 50m,PG-13
86,8.4,High and Low,1963,2h 23m,Not Rated
87,8.3,Singin' in the Rain,1952,1h 43m,G
88,8.3,Requiem for a Dream,2000,1h 42m,Unrated
89,8.4,Capernaum,2018,2h 6m,R
90,8.3,Toy Story 3,2010,1h 43m,G
91,8.4,Come and See,1985,2h 22m,Not Rated
92,8.3,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG
93,8.3,Eternal Sunshine of the Spotless Mind,2004,1h 48m,R
94,8.3,2001: A Space Odyssey,1968,2h 29m,G
95,8.3,The Hunt,2012,1h 55m,R
96,8.3,Reservoir Dogs,1992,1h 39m,R
97,8.3,Ikiru,1952,2h 23m,Not Rated
98,8.3,Lawrence of Arabia,1962,3h 38m,Approved
99,8.3,Citizen Kane,1941,1h 59m,PG
100,8.3,M,1931,1h 39m,Passed
101,8.3,The Apartment,1960,2h 5m,Approved
102,8.3,North by Northwest,1959,2h 16m,Approved
103,8.3,Vertigo,1958,2h 8m,PG
104,8.3,Double Indemnity,1944,1h 47m,Passed
105,8.3,Amélie,2001,2h 2m,R
106,8.3,Scarface,1983,2h 50m,18+
107,8.3,Full Metal Jacket,1987,1h 56m,R
108,8.3,A Clockwork Orange,1971,2h 16m,X
109,8.3,Incendies,2010,2h 11m,R
110,8.3,Heat,1995,2h 50m,R
111,8.3,Hamilton,2020,2h 40m,PG-13
112,8.3,Up,2009,1h 36m,PG
113,8.3,To Kill a Mockingbird,1962,2h 9m,Approved
114,8.3,The Sting,1973,2h 9m,PG
115,8.3,A Separation,2011,2h 3m,PG-13
116,8.2,Indiana Jones and the Last Crusade,1989,2h 7m,PG-13
117,8.3,Metropolis,1927,2h 33m,Not Rated
118,8.2,Die Hard,1988,2h 12m,R
119,8.2,L,1997,2h 18m,R
120,8.3,Bicycle Thieves,1948,1h 29m,Not Rated
121,8.2,Snatch,2000,1h 42m,R
122,8.3,Like Stars on Earth,2007,2h 45m,PG
123,8.2,Taxi Driver,1976,1h 54m,R
124,8.2,1917,2019,1h 59m,R
125,8.2,Downfall,2004,2h 36m,R
126,8.3,Dangal,2016,2h 41m,Not Rated
127,8.3,Top Gun: Maverick,2022,2h 10m,PG-13
128,8.2,For a Few Dollars More,1965,2h 12m,R
129,8.2,Batman Begins,2005,2h 20m,PG-13
130,8.2,Some Like It Hot,1959,2h 1m,Passed
131,8.2,The Kid,1921,1h 8m,Passed
132,8.2,The Wolf of Wall Street,2013,3h,R
133,8.2,The Father,2020,1h 37m,PG-13
134,8.2,Green Book,2018,2h 10m,PG-13
135,8.2,All About Eve,1950,2h 18m,Passed
136,8.3,Judgment at Nuremberg,1961,2h 59m,Approved
137,8.2,The Truman Show,1998,1h 43m,PG
138,8.2,There Will Be Blood,2007,2h 38m,R
139,8.2,Ran,1985,2h 42m,R
140,8.2,Casino,1995,2h 58m,R
141,8.2,Shutter Island,2010,2h 18m,R
142,8.2,Pan's Labyrinth,2006,1h 58m,R
143,8.2,The Sixth Sense,1999,1h 47m,PG-13
144,8.2,Unforgiven,1992,2h 10m,R
145,8.2,Jurassic Park,1993,2h 7m,PG-13
146,8.2,A Beautiful Mind,2001,2h 15m,PG-13
147,8.2,The Treasure of the Sierra Madre,1947,2h 6m,Passed
148,8.2,Yojimbo,1961,1h 50m,Not Rated
149,8.2,No Country for Old Men,2007,2h 2m,R
150,8.2,Kill Bill: Vol,2003,1h 51m,R
151,8.2,Monty Python and the Holy Grail,1975,1h 31m,PG
152,8.2,The Great Escape,1963,2h 52m,Approved
153,8.2,The Thing,1982,1h 49m,16+
154,8.2,Rashomon,1950,1h 28m,Not Rated
155,8.2,Finding Nemo,2003,1h 40m,G
156,8.2,The Elephant Man,1980,2h 4m,PG
157,8.2,Chinatown,1974,2h 10m,R
158,8.2,Gone with the Wind,1939,3h 58m,Passed
159,8.2,Howl's Moving Castle,2004,1h 59m,PG
160,8.2,Dial M for Murder,1954,1h 45m,PG
161,8.2,V for Vendetta,2005,2h 12m,R
162,8.2,Spider-Man: No Way Home,2021,2h 28m,PG-13
163,8.1,Raging Bull,1980,2h 9m,R
164,8.1,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R
165,8.2,The Secret in Their Eyes,2009,2h 9m,R
166,8.1,Inside Out,2015,1h 35m,PG
167,8.1,Prisoners,2013,2h 33m,R
168,8.1,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R
169,8.1,The Bridge on the River Kwai,1957,2h 41m,PG
170,8.1,Trainspotting,1996,1h 33m,R
171,8.1,Fargo,1996,1h 38m,R
172,8.1,Warrior,2011,2h 20m,PG-13
173,8.1,Gran Torino,2008,1h 56m,R
174,8.1,Catch Me If You Can,2002,2h 21m,PG-13
175,8.1,My Neighbor Totoro,1988,1h 26m,G
176,8.1,Million Dollar Baby,2004,2h 12m,PG-13
177,8.2,Klaus,2019,1h 36m,PG
178,8.1,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13
179,8.2,Children of Heaven,1997,1h 29m,PG
180,8.1,Blade Runner,1982,1h 57m,R
181,8.1,12 Years a Slave,2013,2h 14m,R
182,8.1,Before Sunrise,1995,1h 41m,R
183,8.1,The Gold Rush,1925,1h 35m,Passed
184,8.1,The Grand Budapest Hotel,2014,1h 39m,R
185,8.1,Ben-Hur,1959,3h 32m,G
186,8.1,Gone Girl,2014,2h 29m,R
187,8.1,Barry Lyndon,1975,3h 5m,PG
188,8.1,On the Waterfront,1954,1h 48m,Approved
189,8.1,Hacksaw Ridge,2016,2h 19m,R
190,8.1,In the Name of the Father,1993,2h 13m,R
191,8.1,The General,1926,1h 18m,Passed
192,8.1,Memories of Murder,2003,2h 12m,Not Rated
193,8.1,The Deer Hunter,1978,3h 3m,R
194,8.1,Wild Strawberries,1957,1h 31m,Not Rated
195,8.2,The Wages of Fear,1953,2h 11m,Not Rated
196,8.1,The Third Man,1949,1h 33m,Approved
197,8.1,Wild Tales,2014,2h 2m,R
198,8.2,Sherlock Jr,1924,45m,Passed
199,8.1,Mad Max: Fury Road,2015,2h,R
200,8.1,Dead Poets Society,1989,2h 8m,PG
201,8.1,Mr,1939,2h 9m,Passed
202,8.1,"Monsters, Inc",2001,1h 32m,G
203,8.1,How to Train Your Dragon,2010,1h 38m,PG
204,8.1,Jaws,1975,2h 4m,PG
205,8.1,Mary and Max,2009,1h 32m,Not Rated
206,8.1,The Seventh Seal,1957,1h 36m,Not Rated
207,8.1,Room,2015,1h 58m,R
208,8.1,Ford v Ferrari,2019,2h 32m,PG-13
209,8.1,The Big Lebowski,1998,1h 57m,R
210,8.1,Tokyo Story,1953,2h 16m,Not Rated
211,8.1,Ratatouille,2007,1h 51m,G
212,8.1,Rocky,1976,2h,PG
213,8.1,Hotel Rwanda,2004,2h 1m,PG-13
214,8.1,The Passion of Joan of Arc,1928,1h 54m,Passed
215,8.1,Logan,2017,2h 17m,R
216,8.1,Platoon,1986,2h,R
217,8.1,Spotlight,2015,2h 9m,R
218,8.1,The Terminator,1984,1h 47m,R
219,8.8,Jai Bhim,2021,2h 44m,TV-MA
220,8.1,Before Sunset,2004,1h 20m,R
221,8.1,Rush,2013,2h 3m,R
222,8.1,Network,1976,2h 1m,R
